",""type"",""ESG_risk_category"",""metric"",""ret"",""SE"",""low"",""high"""
"1,""-10"",""High"",""Relative # events"",0.00296595050090246,NA,NA,NA"
"2,""-10"",""High"",""AAR"",0.00067281308399888,0.00106942560478859,-0.00130562428486001,0.00265125045285777"
"3,""-10"",""High"",""CAAR"",0.00067281308399888,0.00106942560478859,-0.00130562428486001,0.00265125045285777"
"4,""-10"",""Low"",""Relative # events"",0.00116500852636522,NA,NA,NA"
"5,""-10"",""Low"",""AAR"",0.000674034541450679,0.000935814229426191,-0.00105722178298777,0.00240529086588913"
"6,""-10"",""Low"",""CAAR"",0.000674034541450679,0.000935814229426191,-0.00105722178298777,0.00240529086588913"
"7,""-10"",""Medium"",""Relative # events"",0.00216181167742912,NA,NA,NA"
"8,""-10"",""Medium"",""AAR"",0.000141004012392263,0.000627563582562401,-0.00101998861534818,0.0013019966401327"
"9,""-10"",""Medium"",""CAAR"",0.000141004012392263,0.000627563582562401,-0.00101998861534818,0.0013019966401327"
"10,""-9"",""High"",""Relative # events"",0.00262530588829246,NA,NA,NA"
"11,""-9"",""High"",""AAR"",-0.000719816273726786,0.00112994388993254,-0.00281021247010198,0.00137057992264841"
"12,""-9"",""High"",""CAAR"",-4.70031897279058e-05,0.00166255852632228,-0.00312273646342413,0.00302873008396832"
"13,""-9"",""Low"",""Relative # events"",0.00136737813266966,NA,NA,NA"
"14,""-9"",""Low"",""AAR"",0.000701640588655333,0.000760623931295046,-0.000705513684240501,0.00210879486155117"
"15,""-9"",""Low"",""CAAR"",0.00137567513010601,0.00119368627067499,-0.000832644470642723,0.00358399473085475"
"16,""-9"",""Medium"",""Relative # events"",0.00232565281895892,NA,NA,NA"
"17,""-9"",""Medium"",""AAR"",-1.66493479520914e-05,0.000735962131993296,-0.00137817929213969,0.00134488059623551"
"18,""-9"",""Medium"",""CAAR"",0.000124354664440172,0.00101810604382654,-0.00175914151663893,0.00200785084551928"
"19,""-8"",""High"",""Relative # events"",0.00208609841222343,NA,NA,NA"
"20,""-8"",""High"",""AAR"",-0.000329962024293609,0.00112777805805763,-0.00241635143170023,0.00175642738311301"
"21,""-8"",""High"",""CAAR"",-0.000376965214021515,0.00196026773071464,-0.0040034605158436,0.00324953008780057"
"22,""-8"",""Low"",""Relative # events"",0.00152983051591608,NA,NA,NA"
"23,""-8"",""Low"",""AAR"",0.00123252819544218,0.00096776056862101,-0.000557828856506692,0.00302288524739105"
"24,""-8"",""Low"",""CAAR"",0.00260820332554819,0.00159291484621878,-0.000338689139956563,0.00555509579105294"
"25,""-8"",""Medium"",""Relative # events"",0.00179860531127131,NA,NA,NA"
"26,""-8"",""Medium"",""AAR"",-0.000167990411607522,0.000631453126405514,-0.00133617869545772,0.00100019787224268"
"27,""-8"",""Medium"",""CAAR"",-4.36357471673503e-05,0.00120075430399362,-0.00226503120955555,0.00217775971522085"
"28,""-7"",""High"",""Relative # events"",0.00247102491704961,NA,NA,NA"
"29,""-7"",""High"",""AAR"",-0.000532697430735822,0.0011116946064696,-0.00258933245270458,0.00152393759123293"
"30,""-7"",""High"",""CAAR"",-0.000909662644757336,0.00222793566106845,-0.00503134361773397,0.0032120183282193"
"31,""-7"",""Low"",""Relative # events"",0.0017642759192533,NA,NA,NA"
"32,""-7"",""Low"",""AAR"",-0.000159196741962021,0.000874921673958959,-0.0017778018387861,0.00145940835486205"
"33,""-7"",""Low"",""CAAR"",0.00244900658358617,0.00181961126010291,-0.000917274247604208,0.00581528741477654"
"34,""-7"",""Medium"",""Relative # events"",0.00188233938500306,NA,NA,NA"
"35,""-7"",""Medium"",""AAR"",0.000395410050502552,0.000698843836443485,-0.000897451046917896,0.001688271147923"
"36,""-7"",""Medium"",""CAAR"",0.000351774303335201,0.00136109258169515,-0.00216624697280082,0.00286979557947122"
"37,""-6"",""High"",""Relative # events"",0.00227408463410556,NA,NA,NA"
"38,""-6"",""High"",""AAR"",0.000782470652360952,0.00111721926972675,-0.00128438499663354,0.00284932630135544"
"39,""-6"",""High"",""CAAR"",-0.000127191992396384,0.00257435521081568,-0.00488974913240538,0.00463536514761262"
"40,""-6"",""Low"",""Relative # events"",0.00149591237424461,NA,NA,NA"
"41,""-6"",""Low"",""AAR"",-0.00271398691434987,0.000823032794187542,-0.00423659758359682,-0.00119137624510292"
"42,""-6"",""Low"",""CAAR"",-0.0002649803307637,0.00202492662369374,-0.00401109458459712,0.00348113392306972"
