"","type","metric","ret","SE","low","high"
"1","-10","Relative # events",0.00174870264256901,NA,NA,NA
"2","-10","AAR",-0.000546618777093897,0.000652942365593571,-0.0018263858136573,0.000733148259469502
"3","-10","CAAR",-0.000546618777093897,0.000652942365593571,-0.0018263858136573,0.000733148259469502
"4","-9","Relative # events",0.00176869700379278,NA,NA,NA
"5","-9","AAR",-0.000216900822253337,0.000594662443651231,-0.00138243921180975,0.000948637567303075
"6","-9","CAAR",-0.000763519599347233,0.000904413546408538,-0.00253617015030797,0.0010091309516135
"7","-8","Relative # events",0.0014924436650036,NA,NA,NA
"8","-8","AAR",0.000197624426983974,0.000616963525235368,-0.00101162408247735,0.0014068729364453
"9","-8","CAAR",-0.000565895172363259,0.00110839807506001,-0.00273835539948087,0.00160656505475435
"10","-7","Relative # events",0.00172471695418111,NA,NA,NA
"11","-7","AAR",0.000142806638756127,0.000602204578518386,-0.00103751433513991,0.00132312761265216
"12","-7","CAAR",-0.000423088533607132,0.00120919121484249,-0.00279310331469842,0.00194692624748415
"13","-6","Relative # events",0.00155839304579143,NA,NA,NA
"14","-6","AAR",0.000106060389491341,0.000529779534205265,-0.000932307497550978,0.00114442827653366
"15","-6","CAAR",-0.000317028144115791,0.00137594225741276,-0.00301387496864481,0.00237981868041323
"16","-5","Relative # events",0.00182699136761071,NA,NA,NA
"17","-5","AAR",-0.000678851573230868,0.000663559827903991,-0.00197942883592269,0.000621725689460954
"18","-5","CAAR",-0.000995879717346658,0.00147496187117144,-0.00388680498484267,0.00189504555014935
"19","-4","Relative # events",0.00200877219686064,NA,NA,NA
"20","-4","AAR",-0.00091621876012862,0.000568153744667759,-0.00202980009967743,0.000197362579420188
"21","-4","CAAR",-0.00191209847747528,0.00159014935723946,-0.00502879121766462,0.00120459426271406
"22","-3","Relative # events",0.00209955496313406,NA,NA,NA
"23","-3","AAR",-0.00144844464627433,0.0005747655020906,-0.0025749850303719,-0.000321904262176753
"24","-3","CAAR",-0.00336054312374961,0.00169450354721164,-0.00668177007628443,-3.93161712147851e-05
"25","-2","Relative # events",0.00241170443605629,NA,NA,NA
"26","-2","AAR",-0.00167403954319454,0.000579670417661055,-0.00281019356181021,-0.000537885524578876
"27","-2","CAAR",-0.00503458266694415,0.00180140199281848,-0.00856533057286837,-0.00150383476101993
"28","-1","Relative # events",0.00458275028128675,NA,NA,NA
"29","-1","AAR",-0.0021275272166764,0.000942267242052978,-0.00397437101110023,-0.000280683422252559
"30","-1","CAAR",-0.00716210988362055,0.00202484541179716,-0.011130806890743,-0.00319341287649811
"31","0","Relative # events",0.01,NA,NA,NA
"32","0","AAR",-0.00378113403044344,0.00107754670071821,-0.00589312556385112,-0.00166914249703576
"33","0","CAAR",-0.010943243914064,0.00234110740865177,-0.0155318144350215,-0.00635467339310652
"34","+1","Relative # events",0.00397398463231153,NA,NA,NA
"35","+1","AAR",-0.000461503228069439,0.000911386326716011,-0.00224782042843282,0.00132481397229394
"36","+1","CAAR",-0.0114047471421334,0.0024447305845108,-0.0161964190877746,-0.00661307519649225
"37","+2","Relative # events",0.00223732201743781,NA,NA,NA
"38","+2","AAR",0.000884901927688986,0.000658823583529903,-0.000406392296029625,0.0021761961514076
"39","+2","CAAR",-0.0105198452144444,0.0024077822805011,-0.0152390984842266,-0.00580059194466229
"40","+3","Relative # events",0.00158094631448333,NA,NA,NA
"41","+3","AAR",0.0013994094095307,0.000634732428503615,0.000155333849663617,0.00264348496939779
"42","+3","CAAR",-0.00917540066316474,0.00233823427866723,-0.0137583398493525,-0.00459246147697697
"43","+4","Relative # events",0.0018166531118189,NA,NA,NA
"44","+4","AAR",0.000191912449844363,0.000638535135202536,-0.00105961641515261,0.00144344131484133
"45","+4","CAAR",-0.00898348821332037,0.00234224685659409,-0.0135742920522448,-0.00439268437439596
"46","+5","Relative # events",0.00172432665670181,NA,NA,NA
"47","+5","AAR",6.79485434478275e-05,0.000577121979223473,-0.00106321053583018,0.00119910762272583
"48","+5","CAAR",-0.00891553966987254,0.00243892063593141,-0.0136958241162981,-0.00413525522344698
"49","+6","Relative # events",0.00177176588740605,NA,NA,NA
"50","+6","AAR",0.00045738834255296,0.000586253227347127,-0.000691667983047409,0.00160644466815333
"51","+6","CAAR",-0.00844885184156628,0.00248715450178286,-0.0133236746650607,-0.00357402901807188
"52","+7","Relative # events",0.00163096349642844,NA,NA,NA
"53","+7","AAR",-0.0003989930801815,0.000544720311529473,-0.00146664489077927,0.000668658730416267
"54","+7","CAAR",-0.0088290556812606,0.0024916167706874,-0.0137126245518079,-0.00394548681071329
"55","+8","Relative # events",0.00159751260917767,NA,NA,NA
"56","+8","AAR",0.000163629010009781,0.000605402394966705,-0.00102295968412496,0.00135021770414452
"57","+8","CAAR",-0.00866542667125082,0.00254320056338618,-0.0136500997754877,-0.00368075356701392
"58","+9","Relative # events",0.00137453772070635,NA,NA,NA
"59","+9","AAR",0.000584936512824033,0.000567463399895797,-0.000527291750971729,0.00169716477661979
"60","+9","CAAR",-0.00808049015842679,0.00262572611546019,-0.0132269133447288,-0.00293406697212481
"61","+10","Relative # events",0.00132198420260526,NA,NA,NA
"62","+10","AAR",-8.46212004646256e-05,0.000571991005957815,-0.00120572357214194,0.00103648117121269
"63","+10","CAAR",-0.00822314221262385,0.00274072066950077,-0.0135949547248454,-0.00285132970040233
