"","type","ESG_risk_category","metric","ret","SE","low","high"
"1","-10","High","AAR",0.000291601847845746,0.000404198269970836,-0.000500626761297093,0.00108383045698859
"2","-10","High","CAAR",0.000291601847845746,0.000404198269970836,-0.000500626761297093,0.00108383045698859
"3","-10","Low","AAR",9.25989357422892e-05,0.000175508169631867,-0.000251397076736171,0.000436594948220749
"4","-10","Low","CAAR",9.25989357422892e-05,0.000175508169631867,-0.000251397076736171,0.000436594948220749
"5","-10","Medium","AAR",-2.62134329080846e-05,0.000179326093351901,-0.00037769257587781,0.000325265710061641
"6","-10","Medium","CAAR",-2.62134329080846e-05,0.000179326093351901,-0.00037769257587781,0.000325265710061641
"7","-9","High","AAR",0.000352593150679283,0.000370401034080177,-0.000373392876117863,0.00107857917747643
"8","-9","High","CAAR",0.000644194998525029,0.000541453319186246,-0.000417053507080013,0.00170544350413007
"9","-9","Low","AAR",-4.72731321813331e-05,0.000174676125300415,-0.000389638337770146,0.00029509207340748
"10","-9","Low","CAAR",4.53156479417695e-05,0.000244686588870421,-0.000434270066244256,0.000524901362127795
"11","-9","Medium","AAR",-3.4513949530457e-06,0.000181734711383318,-0.000359651429264349,0.000352748639358257
"12","-9","Medium","CAAR",-2.96628125283935e-05,0.000253103929988795,-0.000525746515306431,0.000466420890249644
"13","-8","High","AAR",0.000312293868862988,0.000367117219727921,-0.000407255881803737,0.00103184361952971
"14","-8","High","CAAR",0.000956488867388017,0.000648507402278454,-0.000314585641077752,0.00222756337585379
"15","-8","Low","AAR",9.34412088309152e-05,0.00017767758116397,-0.000254806850250467,0.000441689267912297
"16","-8","Low","CAAR",0.000138756856772685,0.000294772383436926,-0.000438997014763691,0.000716510728309061
"17","-8","Medium","AAR",8.26829802110501e-05,0.000177095961837161,-0.000264425104989786,0.000429791065411886
"18","-8","Medium","CAAR",5.30201676826566e-05,0.000309133493781129,-0.000552881480128356,0.000658921815493669
"19","-7","High","AAR",0.000472380859831323,0.000375133843618749,-0.000262881473661426,0.00120764319332407
"20","-7","High","CAAR",0.00142886972721934,0.000729491888558462,-9.34374355245115e-07,0.00285867382879392
"21","-7","Low","AAR",-9.91898460056396e-05,0.00017867743660413,-0.000449397621749734,0.000251017929738455
"22","-7","Low","CAAR",3.95670107670452e-05,0.000340090238400172,-0.000627009856497292,0.000706143878031383
"23","-7","Medium","AAR",0.000388025552585323,0.000175399633528658,4.42422708691521e-05,0.000731808834301493
"24","-7","Medium","CAAR",0.000441045720267979,0.000355106908723653,-0.00025496382083038,0.00113705526136634
"25","-6","High","AAR",-0.000209380360948315,0.000401485471394336,-0.000996291884881213,0.000577531162984583
"26","-6","High","CAAR",0.00121948936627102,0.000861899799135965,-0.000469834240035466,0.00290881297257752
"27","-6","Low","AAR",-0.000136828105150697,0.000184817743926341,-0.000499070883246325,0.000225414672944932
"28","-6","Low","CAAR",-9.72610943836514e-05,0.000379593760990551,-0.000841264865925131,0.000646742677157829
"29","-6","Medium","AAR",8.08909218809171e-05,0.00017520880120536,-0.000262518328481589,0.000424300172243423
"30","-6","Medium","CAAR",0.000521936642148896,0.000397952554533318,-0.000258050364736407,0.0013019236490342
"31","-5","High","AAR",0.000610043494704751,0.000359408144867623,-9.4396469235791e-05,0.00131448345864529
"32","-5","High","CAAR",0.00182953286097578,0.000923334191386408,1.97978458584156e-05,0.00363926787609314
"33","-5","Low","AAR",-0.00018550248758493,0.000173466820234797,-0.000525497455245133,0.000154492480075273
"34","-5","Low","CAAR",-0.000282752916205407,0.000405192345058256,-0.00107692991251959,0.000511424080108775
"35","-5","Medium","AAR",2.50444803747503e-05,0.000174764711804275,-0.000317494354761628,0.000367583315511129
"36","-5","Medium","CAAR",0.000546900880131126,0.000429333635033626,-0.000294593044534781,0.00138839480479703
"37","-4","High","AAR",0.0002907697184958,0.000365319835824193,-0.000425257159719618,0.00100679659671122
"38","-4","High","CAAR",0.00212030257947158,0.00100872353705456,0.000143204446844646,0.00409740071209851
"39","-4","Low","AAR",-0.000162427931784863,0.000171744674676344,-0.000499047494150497,0.000174191630580772
"40","-4","Low","CAAR",-0.00044518084799027,0.000431897175333731,-0.00129169931164438,0.000401337615663844
"41","-4","Medium","AAR",0.000155090737225352,0.000171997983326885,-0.000182025310095344,0.000492206784546048
"42","-4","Medium","CAAR",0.000701949580394131,0.0004627962597615,-0.000205131088738408,0.00160903024952667
"43","-3","High","AAR",0.000764386871701281,0.000378576434161738,2.23770607442754e-05,0.00150639668265829
"44","-3","High","CAAR",0.00288468945117286,0.00104273982032234,0.000840919403341067,0.00492845949900465
